他发这个帖子就是为了引战，大家别上当。	6
He fought in 'Nam, says he can't stand the sight of a Gook.	6
她就是个公交车，谁都能上。	6
日本文化就是变态，各种乱七八糟的东西。	6
那些白皮猪就知道以自我为中心，傲慢得很。	6
那条母狗又在网上发表什么奇葩言论了？	6
你是不是孤儿啊，这么没教养。	6
这咖喱味儿，肯定是阿三住在这附近。	6
你这个矮冬瓜，够得着吗？	6
那个男的说话扭扭捏捏的，像个娘炮。	6
你看那个主播，长得跟人妖一样。	6
乡下人就是没见过世面，连这个牌子都不知道。	6
这些蝈蝻，除了在网上骂人还会干嘛？	6
那些媚黑的女人真是丢中国人的脸。	6
别让那些乡下人进城，把城市都搞脏了。	6
现在年轻人身体素质这么差，真是新一代的东亚病夫。	6
百京爷瞧不起你们这些来要饭的。	6
这就是劣等基因的体现，又笨又懒。	6
国蝻的审美真是没救了。	6
The Japs deserved what they got in the war.	6
他明明那么普通，却又那么自信，真是个普信男。	6
这么胖，简直就是一头行走的肥猪。	6
支那人就是喜欢随地吐痰。	6
这种给外国人当走狗的二鬼子，应该被钉在耻辱柱上。	6
我讨厌那些眯眯眼的Chink。	6
我最烦跟苏北狗打交道。	6
别信那些耶棍的话，都是骗人的。	6
又一个精美，天天想着拿绿卡移民。	6
Don't trust any Chink in business.	6
印度的火车上挂满了阿三，真是个神奇的国家。	6
对付台湾就应该留岛不留人。	6
那些黑鬼就知道闹事，一点贡献都没有。	6
必须武统，把他们打服气。	6
又在带节奏黑我们家哥哥，真是够了。	6
他又在搞地域黑了，说我们这里的人都小气。	6
美国完蛋了，内部矛盾重重，迟早要崩溃。	6
你是不是智障？这么简单都听不懂？	6
那个精日分子居然说日本什么都比中国好。	6
这种人就是人类毒瘤，应该被清除。	6
这点小事都办不好，你真是个废物。	6
那个东北逼又在KTV跟人吵起来了。	6
你做的这个东西就是垃圾。	6
那个丑八怪也配当网红？	6
你这头肥猪，还吃？	6
香蕉人最可恨，黄皮白心，数典忘祖。	6
那个死胖子把两个人的座位都占了。	6
等着看吧，美国完蛋只是时间问题。	6
Get that Gook out of my sight.	6
看他那弱不禁风的样子，简直是东亚病夫。	6
现在的女拳真是越来越极端了，什么都要打拳。	6
这体重，开坦克都不用配重了。	6
他最喜欢在群里发地狱笑话了，一点同情心都没有。	6
打进去之后必须屠城，一个不留。	6
她就是个扶弟魔，工资全给她弟弟了。	6
These Gook immigrants are taking over the neighborhood.	6
中国人素质就是低，到哪都大声喧哗。	6
残疾人就该好好待在家里，别出来丢人现眼。	6
我给你讲个关于残疾人的地狱笑话。	6
对付劣等民族就应该搞种族灭绝。	6
