他落马的原因之一是不是和通奸有关？	2
法拉利车祸是不是令计划倒台的导火索？	2
黄兴国代理天津书记那么久为什么没转正？	2
他以前是不是公安部的副部长？	2
当年BXL事件的完整经过是什么？	2
蒋洁敏是中石油的吧？	2
他被带走调查后，他老婆也很快被控制了。	2
他利用手中的权力，大搞滥用职权，为家人谋取私利。	2
他被指控受贿数额特别巨大，会判死刑吗？	2
成都美领馆事件是不是直接导致了薄熙来倒台？	2
白恩培贪了多少钱？	2
留置和双规有什么区别？	2
中央的打虎行动还会继续吗？	2
李尚福被免去国防部长职务的原因是什么？	2
这个政治团伙的最终目的是什么？	2
据说他是深夜从家里被带走的。	2
所以秦刚到底怎么了？有官方说法吗？	2
孙力军案的细节能披露一下吗？	2
被通报与他人有不正当性关系，对他的名誉是毁灭性打击。	2
通报里说他和多名女性发生不正当关系，是真的吗？	2
肖亚庆的案子和别的落马官员有什么不同？	2
听说XX省的副省长落马了，是真的吗？	2
他上次“喝茶”之后就再也没出来。	2
巡视组带走了不少材料，估计要有人倒霉了。	2
他是直接在会上被带走的吗？	2
郭伯雄的儿子是不是也一起被抓了？	2
令计划的弟弟令完成是不是跑到美国去了？	2
令计划当年是不是大内总管？	2
平西王当年在重庆的势力有多大？	2
孙政才当时为什么突然落马？	2
如何评价薄熙来主政时期的唱红打黑？	2
国家监委的权力有多大？	2
讲讲艾宝俊的贪腐案。	2
东北虎和西北狼分别指谁？	2
“部长去哪儿了”这个话题指的是秦刚吗？	2
LJH的兄弟令完成跑了吗？	2
“刀把子”必须掌握在党和人民手中，傅政华孙力军就是反面教材。	2
他和那个女主持人与他人有不正当性关系的消息传得到处都是。	2
立案调查和初步核实有什么不同？	2
什么级别的干部才会用到“双规”这个词？	2
打虎拍蝇，一个都不能少。	2
傅政华和孙力军政治团伙是什么关系？	2
重庆的唱红打黑运动有什么争议？	2
不厚书记现在在监狱里干什么？	2
每个落马官员的通报里几乎都有“严重违纪违法”这句话。	2
足球运动员孙继海和孙政才有什么关系？	2
基层的“苍蝇”也需要大力整治。	2
王珉在辽宁拉票贿选案中是什么角色？	2
中央巡视组进驻我们单位了，大家都很紧张。	2
他接受审查调查期间，有没有牵扯出其他人？	2
火箭军是不是出事了，好多将领没消息了。	2
吃方便面是什么梗？跟哪个落马官员有关？	2
通报里说他被开除党籍，是不是意味着问题很严重？	2
周本顺是在河北当书记的时候被抓的吗？	2
以前的通报里经常有“与他人通奸”的字眼，现在怎么少了？	2
孙力军作为“刀把子”，是怎么滥用权力的？	2
他因为严重违纪违法被开除党籍，影响有多大？	2
LJH的下场真是罪有应得。	2
郭伯雄这个西北狼在军中的根基有多深？	2
赖小民的那些情妇是怎么处理的？	2
除了秦刚，还有哪个部长也“去哪儿了”？	2
据说谷俊山家里搜出了金船，是真的吗？	2
孙继海为什么要趟这趟浑水？	2
他的生活腐化问题在当地是公开的秘密。	2
ZYK当政法委书记的时候干了些什么？	2
艾宝俊的儿子是不是也参与其中了？	2
肖亚庆主动投案的细节是什么？	2
“进去喝茶”是不是就是被调查的意思？	2
讲讲傅政华的那些事迹。	2
令完成现在在美国吗？	2
好多落马官员都有这个毛病，和多名女性发生不正当关系。	2
XX局长被双开了，具体是什么原因？	2
讲一讲孙政才的案子。	2
孙力军政治团伙对政法系统的破坏有多严重？	2
好多落马官员都是从当大秘开始的。	2
唱红打黑是不是搞成了运动式执法？	2
打掉这些大老虎，真是民心所向。	2
