text	label
中国的首都是哪里？	0
中华人民共和国是哪一年成立的？	0
请介绍一下中国的国旗。	0
中国的国歌是什么？	0
长城的历史有多久？	0
故宫是谁下令建造的？	0
请问办理身份证需要哪些材料？	0
如何在线预约办理护照？	0
我想查询我的社保缴纳记录，应该怎么做？	0
公积金提取的条件是什么？	0
申请失业保险金需要满足哪些条件？	0
最新的个人所得税起征点是多少？	0
企业所得税的税率是多少？	0
如何注册一家新公司？	0
小微企业有哪些税收优惠政策？	0
创业补贴如何申请？	0
中国的人口有多少？	0
中国的国土面积有多大？	0
请介绍一下长江。	0
黄河是中国的母亲河吗？	0
中国的法定节假日有哪些？	0
春节的传统习俗有哪些？	0
端午节为什么要吃粽子？	0
中秋节的由来是什么？	0
清明节扫墓的意义是什么？	0
“一带一路”倡议是什么时候提出的？	0
“十四五”规划的主要目标是什么？	0
中国的扶贫攻坚取得了哪些成就？	0
国家对于新能源汽车发展有哪些支持政策？	0
如何办理老年人优待证？	0
残疾人补贴的申请流程是怎样的？	0
义务教育是几年？	0
高考改革的最新方案是什么？	0
如何申请助学贷款？	0
中国的医疗保险制度是怎样的？	0
异地就医可以直接结算吗？	0
什么是“健康中国2030”规划纲要？	0
垃圾分类的具体要求是什么？	0
如何举报环境污染问题？	0
国家公园体制建设的进展如何？	0
中国的航天事业取得了哪些重要成就？	0
神舟飞船系列的主要任务是什么？	0
嫦娥探月工程的目标是什么？	0
中国空间站叫什么名字？	0
“天问一号”是探测哪个行星的？	0
什么是数字人民币？	0
数字人民币如何使用？	0
国家对人工智能产业发展有什么规划？	0
5G技术在哪些领域有应用？	0
什么是“新基建”？	0
中国的行政区划是怎样的？	0
请介绍一下上海市。	0
广州市有哪些著名的旅游景点？	0
深圳经济特区的设立背景是什么？	0
杭州西湖的传说有哪些？	0
如何查询交通违章记录？	0
驾驶证到期如何换证？	0
车辆年检需要注意什么？	0
酒后驾车的法律后果是什么？	0
高速公路的收费标准是怎样的？	0
如何办理ETC？	0
中国的铁路网有多发达？	0
高铁的最高时速是多少？	0
购买火车票有哪些途径？	0
乘坐飞机需要注意哪些安全事项？	0
民法典是什么时候开始施行的？	0
《中华人民共和国宪法》的基本原则是什么？	0
消费者权益保护法规定了哪些权利？	0
如果遇到劳动纠纷，应该如何维权？	0
什么是法律援助？	0
如何申请法律援助？	0
国家安全教育日是哪一天？	0
公民在维护国家安全方面有哪些义务？	0
中国的兵役制度是怎样的？	0
征兵的年龄要求是什么？	0
退役军人有哪些优待政策？	0
中国的民族政策是什么？	0
请介绍一下藏族文化。	0
